Contract_ID,Opportunity_ID,Account_ID,Start_Date,End_Date,Contract_Value,Contract_Type,Renewal_Status,Cancellation_Reason,Renewal_Type,Contract_Status
CONT-000582,OPP-003731,ACC-000029,2024-10-05 13:43:46,2027-04-03 13:43:46,432203.16,Annual,Pending,,Product Licensing,Active
CONT-000583,OPP-003737,ACC-000050,2025-06-13 13:43:46,2027-05-10 13:43:46,53776.94,Custom,Pending,,Infrastructure & Environment Setup,Active
CONT-000584,OPP-003738,ACC-000030,2024-11-21 13:43:46,2026-05-13 13:43:46,376042.49,Annual,Pending,,Development Projects,Active
CONT-000585,OPP-003757,ACC-000008,2022-11-26 00:00:00,2023-11-26 00:00:00,486246.9,Annual,Non-Renewed,Competitor,Product Licensing,Inactive
CONT-000586,OPP-003760,ACC-000006,2025-03-02 13:43:46,2026-04-11 13:43:46,180158.05,Custom,Auto-Renew,,Development Projects,Active
CONT-000587,OPP-003775,ACC-000050,2024-01-20 00:00:00,2024-04-19 00:00:00,46032.86,Quarterly,Non-Renewed,Business Closure,Product Licensing,Inactive
CONT-000588,OPP-003777,ACC-000044,2024-10-25 13:43:46,2027-01-04 13:43:46,258886.95,Annual,Pending,,Staff Augmentation,Active
CONT-000589,OPP-003780,ACC-000028,2024-05-25 00:00:00,2024-08-23 00:00:00,462641.83,Quarterly,Non-Renewed,Poor Service,Support & Maintenance,Inactive
CONT-000590,OPP-003786,ACC-000054,2021-06-19 00:00:00,2021-09-17 00:00:00,164979.72,Quarterly,Non-Renewed,Budget Constraints,Professional Services,Inactive
CONT-000591,OPP-003793,ACC-000049,2024-02-18 00:00:00,2024-05-18 00:00:00,202826.96,Quarterly,Non-Renewed,Budget Constraints,Support & Maintenance,Inactive
CONT-000592,OPP-003800,ACC-000036,2021-03-25 00:00:00,2022-03-25 00:00:00,168935.4,Annual,Non-Renewed,Competitor,System Integration,Inactive
CONT-000593,OPP-003803,ACC-000056,2024-11-30 13:43:46,2026-03-19 13:43:46,497857.44,Annual,Renewed,,Outcome-Based Contracts,Active
CONT-000594,OPP-003808,ACC-000025,2025-01-10 13:43:46,2027-04-06 13:43:46,366412.04,Quarterly,Pending,,Outcome-Based Contracts,Active
CONT-000595,OPP-003815,ACC-000061,2021-05-09 00:00:00,2021-08-07 00:00:00,59009.82,Quarterly,Non-Renewed,Poor Service,Data & Analytics Services,Inactive
CONT-000596,OPP-003823,ACC-000036,2024-07-16 13:43:46,2026-12-15 13:43:46,457913.72,Annual,Pending,,Outcome-Based Contracts,Active
CONT-000597,OPP-003828,ACC-000003,2025-02-19 13:43:46,2026-04-26 13:43:46,226385.07,Custom,Auto-Renew,,Staff Augmentation,Active
CONT-000598,OPP-003831,ACC-000026,2021-03-20 00:00:00,2021-06-18 00:00:00,324896.46,Quarterly,Non-Renewed,Budget Constraints,Product Licensing,Inactive
CONT-000599,OPP-003834,ACC-000052,2023-01-14 00:00:00,2024-01-14 00:00:00,123767.82,Annual,Non-Renewed,Competitor,Professional Services,Inactive
CONT-000600,OPP-003849,ACC-000020,2025-03-22 13:43:46,2026-03-15 13:43:46,498509.86,Custom,Pending,,Staff Augmentation,Active
CONT-000601,OPP-003851,ACC-000036,2021-02-25 00:00:00,2021-04-26 00:00:00,289820.6,Custom,Non-Renewed,Competitor,Staff Augmentation,Inactive
CONT-000602,OPP-003854,ACC-000022,2024-12-17 13:43:46,2025-11-30 13:43:46,345704.71,Quarterly,Pending,,Professional Services,Active
CONT-000603,OPP-003869,ACC-000014,2021-01-18 00:00:00,2022-01-18 00:00:00,300375.58,Annual,Non-Renewed,Product Issues,Data & Analytics Services,Inactive
CONT-000604,OPP-003870,ACC-000025,2021-12-17 00:00:00,2022-03-17 00:00:00,108010.43,Quarterly,Non-Renewed,Business Closure,Staff Augmentation,Inactive
CONT-000605,OPP-003890,ACC-000030,2021-08-14 00:00:00,2022-08-14 00:00:00,164550.78,Annual,Non-Renewed,Business Closure,Product Licensing,Inactive
CONT-000606,OPP-003891,ACC-000031,2025-05-26 13:43:46,2026-04-18 13:43:46,132993.83,Quarterly,Renewed,,Support & Maintenance,Active
CONT-000607,OPP-003892,ACC-000013,2022-04-13 00:00:00,2023-04-13 00:00:00,55888.97,Annual,Non-Renewed,Budget Constraints,Outcome-Based Contracts,Inactive
CONT-000608,OPP-003918,ACC-000029,2024-10-18 13:43:46,2026-11-14 13:43:46,469459.35,Annual,Pending,,Outcome-Based Contracts,Active
CONT-000609,OPP-003936,ACC-000029,2021-10-26 00:00:00,2022-10-26 00:00:00,210701.14,Annual,Non-Renewed,Business Closure,Infrastructure & Environment Setup,Inactive
CONT-000610,OPP-003942,ACC-000039,2025-06-06 13:43:46,2025-10-31 13:43:46,256117.16,Annual,Auto-Renew,,Outcome-Based Contracts,Active
CONT-000611,OPP-003945,ACC-000032,2025-06-27 13:43:46,2026-03-30 13:43:46,445901.4,Custom,Pending,,Support & Maintenance,Active
CONT-000612,OPP-003948,ACC-000013,2024-05-26 00:00:00,2025-05-26 00:00:00,222502.85,Annual,Non-Renewed,Competitor,Product Licensing,Inactive
CONT-000613,OPP-003950,ACC-000011,2023-03-03 00:00:00,2023-06-01 00:00:00,408681.63,Quarterly,Non-Renewed,Competitor,Staff Augmentation,Inactive
CONT-000614,OPP-003952,ACC-000011,2023-09-21 00:00:00,2023-12-20 00:00:00,34392.63,Quarterly,Non-Renewed,Budget Constraints,Staff Augmentation,Inactive
CONT-000615,OPP-003962,ACC-000038,2024-08-19 13:43:46,2026-09-10 13:43:46,391196.71,Custom,Renewed,,Managed Services,Active
CONT-000616,OPP-003966,ACC-000008,2023-07-08 00:00:00,2023-10-06 00:00:00,334320.81,Quarterly,Non-Renewed,Poor Service,Infrastructure & Environment Setup,Inactive
CONT-000617,OPP-003993,ACC-000044,2025-06-15 13:43:46,2026-04-19 13:43:46,141115.7,Custom,Renewed,,Product Licensing,Active
CONT-000618,OPP-003998,ACC-000039,2024-07-20 13:43:46,2025-12-13 13:43:46,156089.94,Custom,Auto-Renew,,Support & Maintenance,Active
CONT-000619,OPP-004012,ACC-000030,2025-03-20 13:43:46,2027-03-21 13:43:46,40058.18,Quarterly,Auto-Renew,,Outcome-Based Contracts,Active
CONT-000620,OPP-004014,ACC-000008,2023-11-07 00:00:00,2024-05-05 00:00:00,183428.72,Custom,Non-Renewed,Poor Service,Product Licensing,Inactive
CONT-000621,OPP-004042,ACC-000003,2024-01-01 00:00:00,2024-12-31 00:00:00,66170.59,Annual,Non-Renewed,Budget Constraints,Data & Analytics Services,Inactive
CONT-000622,OPP-004046,ACC-000030,2025-04-28 13:43:46,2026-03-22 13:43:46,166430.28,Quarterly,Auto-Renew,,Support & Maintenance,Active
CONT-000623,OPP-004047,ACC-000025,2025-03-07 13:43:46,2026-06-07 13:43:46,323918.72,Quarterly,Renewed,,Professional Services,Active
CONT-000624,OPP-004050,ACC-000055,2024-08-01 13:43:46,2027-01-03 13:43:46,165794.77,Custom,Renewed,,Support & Maintenance,Active
CONT-000625,OPP-004063,ACC-000053,2024-09-21 13:43:46,2026-08-10 13:43:46,399051.78,Annual,Pending,,Outcome-Based Contracts,Active
CONT-000626,OPP-004070,ACC-000045,2024-10-09 13:43:46,2025-10-19 13:43:46,315512.13,Annual,Pending,,Staff Augmentation,Active
CONT-000627,OPP-004078,ACC-000020,2024-10-10 00:00:00,2025-06-07 00:00:00,335356.33,Custom,Non-Renewed,Merger/Acquisition,Product Licensing,Inactive
CONT-000628,OPP-004082,ACC-000040,2025-03-14 13:43:46,2026-11-21 13:43:46,362371.02,Custom,Renewed,,Development Projects,Active
CONT-000629,OPP-004092,ACC-000033,2024-10-22 13:43:46,2025-11-16 13:43:46,287523.12,Quarterly,Pending,,System Integration,Active
CONT-000630,OPP-004097,ACC-000053,2025-03-21 13:43:46,2027-01-17 13:43:46,381562.84,Annual,Pending,,Outcome-Based Contracts,Active
CONT-000631,OPP-004098,ACC-000016,2021-06-01 00:00:00,2022-06-01 00:00:00,454778.25,Annual,Non-Renewed,Merger/Acquisition,Professional Services,Inactive
CONT-000632,OPP-004106,ACC-000019,2021-05-25 00:00:00,2022-05-25 00:00:00,269533.64,Annual,Non-Renewed,Merger/Acquisition,Support & Maintenance,Inactive
CONT-000633,OPP-004108,ACC-000004,2022-04-07 00:00:00,2023-04-07 00:00:00,26506.85,Annual,Non-Renewed,Budget Constraints,Data & Analytics Services,Inactive
CONT-000634,OPP-004113,ACC-000047,2024-03-12 00:00:00,2024-06-10 00:00:00,327547.71,Quarterly,Non-Renewed,Business Closure,Professional Services,Inactive
CONT-000635,OPP-004124,ACC-000021,2024-11-28 13:43:46,2026-03-12 13:43:46,67747.77,Custom,Renewed,,Data & Analytics Services,Active
CONT-000636,OPP-004125,ACC-000057,2025-04-12 13:43:46,2025-12-28 13:43:46,158654.15,Custom,Pending,,Staff Augmentation,Active
CONT-000637,OPP-004127,ACC-000008,2024-09-10 13:43:46,2026-09-24 13:43:46,493735.09,Custom,Pending,,Product Licensing,Active
CONT-000638,OPP-004129,ACC-000026,2023-12-15 00:00:00,2024-03-14 00:00:00,115264.88,Quarterly,Non-Renewed,Competitor,Product Licensing,Inactive
CONT-000639,OPP-004130,ACC-000002,2024-08-24 13:43:46,2025-07-18 13:43:46,412969.63,Quarterly,Pending,,Product Licensing,Active
CONT-000640,OPP-004135,ACC-000014,2023-05-15 00:00:00,2023-08-13 00:00:00,324323.19,Quarterly,Non-Renewed,Competitor,Staff Augmentation,Inactive
CONT-000641,OPP-004136,ACC-000060,2023-06-06 00:00:00,2024-02-01 00:00:00,386840.96,Custom,Non-Renewed,Competitor,System Integration,Inactive
CONT-000642,OPP-004147,ACC-000049,2021-06-21 00:00:00,2021-09-19 00:00:00,310667.02,Quarterly,Non-Renewed,Poor Service,Outcome-Based Contracts,Inactive
CONT-000643,OPP-004148,ACC-000041,2024-01-06 00:00:00,2024-04-05 00:00:00,170203.68,Quarterly,Non-Renewed,Competitor,Professional Services,Inactive
CONT-000644,OPP-004150,ACC-000029,2024-12-15 13:43:46,2026-03-20 13:43:46,494562.38,Custom,Auto-Renew,,Infrastructure & Environment Setup,Active
CONT-000645,OPP-004153,ACC-000012,2024-12-22 13:43:46,2026-12-02 13:43:46,324681.74,Annual,Auto-Renew,,Staff Augmentation,Active
CONT-000646,OPP-004154,ACC-000003,2024-12-25 13:43:46,2026-08-08 13:43:46,173602.54,Annual,Auto-Renew,,Outcome-Based Contracts,Active
CONT-000647,OPP-004155,ACC-000025,2024-12-09 13:43:46,2026-05-27 13:43:46,446215.99,Annual,Pending,,Professional Services,Active
CONT-000648,OPP-004160,ACC-000022,2024-09-16 13:43:46,2026-11-24 13:43:46,67936.47,Custom,Auto-Renew,,Professional Services,Active
CONT-000649,OPP-004169,ACC-000003,2024-07-05 13:43:46,2025-11-02 13:43:46,397121.67,Quarterly,Auto-Renew,,Managed Services,Active
CONT-000650,OPP-004171,ACC-000054,2024-11-12 13:43:46,2027-02-02 13:43:46,134449.18,Quarterly,Renewed,,Data & Analytics Services,Active
CONT-000651,OPP-004176,ACC-000048,2021-10-18 00:00:00,2022-10-18 00:00:00,498283.54,Annual,Non-Renewed,Budget Constraints,System Integration,Inactive
CONT-000652,OPP-004179,ACC-000012,2021-02-08 00:00:00,2021-03-10 00:00:00,451664.25,Custom,Non-Renewed,Product Issues,Data & Analytics Services,Inactive
CONT-000653,OPP-004187,ACC-000050,2024-10-18 13:43:46,2026-06-15 13:43:46,400075.62,Annual,Pending,,System Integration,Active
CONT-000654,OPP-004193,ACC-000034,2022-05-06 00:00:00,2022-08-04 00:00:00,145997.9,Quarterly,Non-Renewed,Competitor,Staff Augmentation,Inactive
CONT-000655,OPP-004194,ACC-000031,2024-02-16 00:00:00,2024-05-16 00:00:00,379046.27,Quarterly,Non-Renewed,Merger/Acquisition,Infrastructure & Environment Setup,Inactive
CONT-000656,OPP-004198,ACC-000053,2024-02-08 00:00:00,2024-05-08 00:00:00,351802.8,Quarterly,Non-Renewed,Competitor,Professional Services,Inactive
CONT-000657,OPP-004199,ACC-000015,2024-09-09 13:43:46,2025-09-07 13:43:46,441262.69,Annual,Pending,,Data & Analytics Services,Active
CONT-000658,OPP-004201,ACC-000055,2024-05-28 00:00:00,2025-01-23 00:00:00,487598.81,Custom,Non-Renewed,Competitor,Staff Augmentation,Inactive
CONT-000659,OPP-004218,ACC-000035,2021-02-20 00:00:00,2021-05-21 00:00:00,103798.77,Quarterly,Non-Renewed,Product Issues,Professional Services,Inactive
CONT-000660,OPP-004236,ACC-000004,2024-08-19 13:43:46,2026-10-17 13:43:46,373838.24,Quarterly,Renewed,,System Integration,Active
CONT-000661,OPP-004237,ACC-000017,2024-04-21 00:00:00,2024-07-20 00:00:00,475025.96,Quarterly,Non-Renewed,Business Closure,Data & Analytics Services,Inactive
CONT-000662,OPP-004242,ACC-000050,2024-11-17 13:43:46,2026-12-21 13:43:46,63918.47,Annual,Renewed,,Outcome-Based Contracts,Active
CONT-000663,OPP-004243,ACC-000027,2025-03-09 13:43:46,2026-01-12 13:43:46,473524.32,Annual,Pending,,Infrastructure & Environment Setup,Active
CONT-000664,OPP-004246,ACC-000049,2024-10-18 13:43:46,2026-05-09 13:43:46,197746.73,Custom,Renewed,,Data & Analytics Services,Active
CONT-000665,OPP-004249,ACC-000002,2024-11-07 13:43:46,2027-06-19 13:43:46,238861.25,Annual,Renewed,,Managed Services,Active
CONT-000666,OPP-004250,ACC-000024,2022-06-14 00:00:00,2022-09-12 00:00:00,437744.68,Quarterly,Non-Renewed,Business Closure,Professional Services,Inactive
CONT-000667,OPP-004252,ACC-000057,2024-08-21 13:43:46,2026-01-23 13:43:46,439477.09,Custom,Renewed,,Outcome-Based Contracts,Active
CONT-000668,OPP-004254,ACC-000026,2025-06-06 13:43:46,2026-07-25 13:43:46,408379.31,Annual,Auto-Renew,,Staff Augmentation,Active
CONT-000669,OPP-004256,ACC-000031,2024-03-09 00:00:00,2025-03-09 00:00:00,247569.04,Annual,Non-Renewed,Poor Service,Support & Maintenance,Inactive
CONT-000670,OPP-004261,ACC-000018,2024-09-09 13:43:46,2025-10-13 13:43:46,195786.49,Custom,Auto-Renew,,Professional Services,Active
CONT-000671,OPP-004274,ACC-000005,2024-12-19 13:43:46,2026-12-16 13:43:46,432882.17,Annual,Renewed,,System Integration,Active
CONT-000672,OPP-004277,ACC-000057,2024-10-27 13:43:46,2026-11-18 13:43:46,247568.64,Quarterly,Auto-Renew,,Outcome-Based Contracts,Active
CONT-000673,OPP-004287,ACC-000001,2025-01-05 13:43:46,2026-09-21 13:43:46,468573.53,Annual,Auto-Renew,,Infrastructure & Environment Setup,Active
CONT-000674,OPP-004289,ACC-000041,2025-03-01 13:43:46,2027-06-02 13:43:46,308672.24,Quarterly,Auto-Renew,,Professional Services,Active
CONT-000675,OPP-004290,ACC-000007,2024-11-19 13:43:46,2025-11-14 13:43:46,169584.93,Custom,Pending,,Data & Analytics Services,Active
CONT-000676,OPP-004292,ACC-000002,2025-05-31 13:43:46,2025-12-08 13:43:46,190403.62,Annual,Auto-Renew,,Development Projects,Active
CONT-000677,OPP-004294,ACC-000020,2025-01-09 13:43:46,2026-10-14 13:43:46,334243.56,Custom,Auto-Renew,,Data & Analytics Services,Active
CONT-000678,OPP-004311,ACC-000008,2023-02-11 00:00:00,2023-07-11 00:00:00,491045.27,Custom,Non-Renewed,Business Closure,Professional Services,Inactive
CONT-000679,OPP-004317,ACC-000003,2025-05-22 13:43:46,2027-06-16 13:43:46,281852.01,Quarterly,Pending,,System Integration,Active
CONT-000680,OPP-004327,ACC-000001,2023-08-11 00:00:00,2024-07-06 00:00:00,255890.5,Custom,Non-Renewed,Competitor,Infrastructure & Environment Setup,Inactive
CONT-000681,OPP-004328,ACC-000023,2021-09-13 00:00:00,2022-09-13 00:00:00,476588.52,Annual,Non-Renewed,Competitor,Staff Augmentation,Inactive
CONT-000682,OPP-004330,ACC-000011,2025-04-18 13:43:46,2026-04-15 13:43:46,131929.15,Custom,Pending,,Support & Maintenance,Active
CONT-000683,OPP-004332,ACC-000038,2024-08-13 13:43:46,2025-08-22 13:43:46,174549.79,Annual,Renewed,,Outcome-Based Contracts,Active
CONT-000684,OPP-004337,ACC-000055,2025-02-18 13:43:46,2026-08-10 13:43:46,435535.69,Quarterly,Pending,,Infrastructure & Environment Setup,Active
CONT-000685,OPP-004340,ACC-000062,2023-12-01 00:00:00,2024-02-29 00:00:00,146052.39,Quarterly,Non-Renewed,Business Closure,Outcome-Based Contracts,Inactive
CONT-000686,OPP-004341,ACC-000039,2021-07-24 00:00:00,2022-07-24 00:00:00,323048.49,Annual,Non-Renewed,Business Closure,Data & Analytics Services,Inactive
CONT-000687,OPP-004343,ACC-000016,2023-07-18 00:00:00,2023-10-16 00:00:00,90660.98,Quarterly,Non-Renewed,Competitor,Data & Analytics Services,Inactive
CONT-000688,OPP-004349,ACC-000032,2025-06-07 13:43:46,2026-04-24 13:43:46,151916.71,Quarterly,Pending,,Professional Services,Active
CONT-000689,OPP-004350,ACC-000011,2024-12-13 13:43:46,2026-10-14 13:43:46,160820.93,Annual,Pending,,Development Projects,Active
CONT-000690,OPP-004367,ACC-000058,2021-05-04 00:00:00,2022-02-28 00:00:00,180432.88,Custom,Non-Renewed,Poor Service,Professional Services,Inactive
CONT-000691,OPP-004376,ACC-000024,2025-03-10 13:43:46,2025-12-29 13:43:46,357331.93,Quarterly,Auto-Renew,,Product Licensing,Active
CONT-000692,OPP-004380,ACC-000016,2021-12-25 00:00:00,2022-03-25 00:00:00,70292.4,Quarterly,Non-Renewed,Poor Service,Product Licensing,Inactive
CONT-000693,OPP-004381,ACC-000030,2025-05-26 13:43:46,2025-11-17 13:43:46,388813.65,Quarterly,Renewed,,Professional Services,Active
CONT-000694,OPP-004392,ACC-000039,2023-07-12 00:00:00,2024-07-11 00:00:00,334636.63,Annual,Non-Renewed,Competitor,Professional Services,Inactive
CONT-000695,OPP-004393,ACC-000051,2024-10-27 13:43:46,2026-01-19 13:43:46,412882.59,Quarterly,Auto-Renew,,Infrastructure & Environment Setup,Active
CONT-000696,OPP-004396,ACC-000060,2025-06-20 13:43:46,2025-11-19 13:43:46,198267.24,Custom,Pending,,Managed Services,Active
CONT-000697,OPP-004400,ACC-000033,2024-12-23 13:43:46,2026-11-30 13:43:46,477084.02,Annual,Pending,,Product Licensing,Active
CONT-000698,OPP-004406,ACC-000011,2025-06-09 13:43:46,2027-04-30 13:43:46,42491.61,Custom,Pending,,Data & Analytics Services,Active
CONT-000699,OPP-004407,ACC-000035,2024-12-14 13:43:46,2026-01-23 13:43:46,130847.17,Annual,Renewed,,Development Projects,Active
CONT-000700,OPP-004410,ACC-000060,2025-01-14 13:43:46,2025-12-17 13:43:46,281462.63,Custom,Pending,,Product Licensing,Active
CONT-000701,OPP-004412,ACC-000031,2024-10-17 13:43:46,2026-05-22 13:43:46,171998.15,Quarterly,Pending,,System Integration,Active
CONT-000702,OPP-004414,ACC-000035,2024-09-22 13:43:46,2026-10-29 13:43:46,251404.01,Custom,Pending,,Staff Augmentation,Active
CONT-000703,OPP-004420,ACC-000016,2025-01-11 13:43:46,2025-09-20 13:43:46,380967.51,Annual,Auto-Renew,,Staff Augmentation,Active
CONT-000704,OPP-004421,ACC-000025,2024-02-10 00:00:00,2024-04-10 00:00:00,157942.02,Custom,Non-Renewed,Budget Constraints,System Integration,Inactive
CONT-000705,OPP-004423,ACC-000015,2025-01-04 13:43:46,2026-11-17 13:43:46,285155.84,Quarterly,Pending,,Infrastructure & Environment Setup,Active
CONT-000706,OPP-004426,ACC-000023,2022-10-01 00:00:00,2022-12-30 00:00:00,198471.15,Quarterly,Non-Renewed,Poor Service,Staff Augmentation,Inactive
CONT-000707,OPP-004428,ACC-000041,2025-02-09 13:43:46,2025-08-21 13:43:46,232190.64,Custom,Auto-Renew,,Product Licensing,Active
CONT-000708,OPP-004450,ACC-000017,2025-05-27 13:43:46,2026-02-13 13:43:46,263902.55,Annual,Renewed,,Product Licensing,Active
CONT-000709,OPP-004467,ACC-000031,2023-11-23 00:00:00,2024-06-20 00:00:00,70624.16,Custom,Non-Renewed,Business Closure,Professional Services,Inactive
CONT-000710,OPP-004468,ACC-000036,2021-06-24 00:00:00,2022-05-20 00:00:00,12996.75,Custom,Non-Renewed,Business Closure,Managed Services,Inactive
CONT-000711,OPP-004480,ACC-000053,2021-02-16 00:00:00,2021-05-17 00:00:00,378846.99,Quarterly,Non-Renewed,Product Issues,Data & Analytics Services,Inactive
CONT-000712,OPP-004486,ACC-000055,2025-04-29 13:43:46,2026-03-31 13:43:46,29108.19,Quarterly,Auto-Renew,,Data & Analytics Services,Active
CONT-000713,OPP-004487,ACC-000043,2023-07-23 00:00:00,2024-07-22 00:00:00,417686.73,Annual,Non-Renewed,Merger/Acquisition,Managed Services,Inactive
CONT-000714,OPP-004490,ACC-000027,2024-04-07 00:00:00,2024-10-04 00:00:00,197177.32,Custom,Non-Renewed,Business Closure,Staff Augmentation,Inactive
CONT-000715,OPP-004492,ACC-000017,2025-03-27 13:43:46,2026-07-30 13:43:46,135925.61,Quarterly,Auto-Renew,,Data & Analytics Services,Active
CONT-000716,OPP-004494,ACC-000059,2025-03-04 13:43:46,2027-05-22 13:43:46,185358.02,Quarterly,Renewed,,Professional Services,Active
CONT-000717,OPP-004499,ACC-000002,2021-09-17 00:00:00,2022-09-17 00:00:00,240210.39,Annual,Non-Renewed,Competitor,Product Licensing,Inactive
CONT-000718,OPP-004519,ACC-000019,2021-06-01 00:00:00,2022-06-01 00:00:00,138896.87,Annual,Non-Renewed,Merger/Acquisition,Development Projects,Inactive
CONT-000719,OPP-004524,ACC-000039,2021-11-02 00:00:00,2022-11-02 00:00:00,273339.43,Annual,Non-Renewed,Product Issues,Managed Services,Inactive
CONT-000720,OPP-004528,ACC-000019,2024-09-22 13:43:46,2026-05-20 13:43:46,125897.73,Custom,Pending,,Outcome-Based Contracts,Active
CONT-000721,OPP-004552,ACC-000024,2025-04-12 13:43:46,2026-11-27 13:43:46,231172.92,Annual,Auto-Renew,,Managed Services,Active
CONT-000722,OPP-004554,ACC-000006,2025-04-29 13:43:46,2025-08-16 13:43:46,161284.8,Custom,Renewed,,Infrastructure & Environment Setup,Active
CONT-000723,OPP-004555,ACC-000006,2024-09-17 13:43:46,2026-08-23 13:43:46,211132.07,Quarterly,Pending,,Managed Services,Active
CONT-000724,OPP-004581,ACC-000055,2025-03-25 13:43:46,2025-10-22 13:43:46,360968.46,Quarterly,Renewed,,Outcome-Based Contracts,Active
CONT-000725,OPP-004590,ACC-000016,2025-01-06 13:43:46,2025-07-18 13:43:46,44425.71,Quarterly,Renewed,,Development Projects,Active
CONT-000726,OPP-004607,ACC-000020,2025-04-10 13:43:46,2027-06-22 13:43:46,434674.05,Custom,Pending,,Infrastructure & Environment Setup,Active
CONT-000727,OPP-004610,ACC-000053,2021-12-26 00:00:00,2022-12-26 00:00:00,127647.28,Annual,Non-Renewed,Merger/Acquisition,Professional Services,Inactive
CONT-000728,OPP-004612,ACC-000043,2022-10-24 00:00:00,2022-12-23 00:00:00,377998.7,Custom,Non-Renewed,Product Issues,Professional Services,Inactive
CONT-000729,OPP-004624,ACC-000021,2025-02-16 13:43:46,2026-01-23 13:43:46,343804.9,Custom,Pending,,Support & Maintenance,Active
CONT-000730,OPP-004625,ACC-000022,2024-08-17 00:00:00,2024-11-15 00:00:00,137837.21,Quarterly,Non-Renewed,Product Issues,Professional Services,Inactive
CONT-000731,OPP-004631,ACC-000010,2024-06-02 00:00:00,2025-06-02 00:00:00,261847.57,Annual,Non-Renewed,Business Closure,Development Projects,Inactive
CONT-000732,OPP-004636,ACC-000013,2024-03-23 00:00:00,2024-10-19 00:00:00,460804.47,Custom,Non-Renewed,Poor Service,Managed Services,Inactive
CONT-000733,OPP-004638,ACC-000045,2021-05-18 00:00:00,2022-04-13 00:00:00,105555.39,Custom,Non-Renewed,Competitor,Staff Augmentation,Inactive
CONT-000734,OPP-004641,ACC-000034,2023-03-04 00:00:00,2024-03-03 00:00:00,312612.47,Annual,Non-Renewed,Merger/Acquisition,Support & Maintenance,Inactive
CONT-000735,OPP-004644,ACC-000055,2025-06-07 13:43:46,2026-10-03 13:43:46,483474.77,Annual,Renewed,,Infrastructure & Environment Setup,Active
CONT-000736,OPP-004645,ACC-000022,2024-10-19 13:43:46,2026-10-18 13:43:46,343172.68,Annual,Pending,,Data & Analytics Services,Active
CONT-000737,OPP-004652,ACC-000018,2024-11-21 13:43:46,2025-12-10 13:43:46,99151.87,Annual,Auto-Renew,,Managed Services,Active
CONT-000738,OPP-004655,ACC-000002,2024-09-14 13:43:46,2027-05-21 13:43:46,36232.35,Quarterly,Auto-Renew,,Data & Analytics Services,Active
CONT-000739,OPP-004684,ACC-000027,2021-02-20 00:00:00,2021-07-20 00:00:00,236181.25,Custom,Non-Renewed,Poor Service,Managed Services,Inactive
CONT-000740,OPP-004696,ACC-000059,2023-09-24 00:00:00,2023-12-23 00:00:00,432543.55,Quarterly,Non-Renewed,Merger/Acquisition,Support & Maintenance,Inactive
CONT-000741,OPP-004697,ACC-000023,2025-04-28 13:43:46,2026-10-13 13:43:46,470758.36,Annual,Renewed,,Product Licensing,Active
CONT-000742,OPP-004717,ACC-000011,2021-07-24 00:00:00,2022-07-24 00:00:00,214449.38,Annual,Non-Renewed,Product Issues,Support & Maintenance,Inactive
CONT-000743,OPP-004737,ACC-000052,2023-09-13 00:00:00,2023-12-12 00:00:00,434011.83,Quarterly,Non-Renewed,Merger/Acquisition,Professional Services,Inactive
CONT-000744,OPP-004738,ACC-000056,2024-09-26 00:00:00,2025-03-25 00:00:00,100543.56,Custom,Non-Renewed,Merger/Acquisition,Professional Services,Inactive
CONT-000745,OPP-004744,ACC-000006,2021-07-01 00:00:00,2022-03-28 00:00:00,175506.21,Custom,Non-Renewed,Competitor,Infrastructure & Environment Setup,Inactive
CONT-000746,OPP-004751,ACC-000056,2021-10-16 00:00:00,2022-01-14 00:00:00,459162.56,Quarterly,Non-Renewed,Budget Constraints,Professional Services,Inactive
CONT-000747,OPP-004758,ACC-000045,2024-08-25 13:43:46,2027-06-24 13:43:46,191445.33,Quarterly,Auto-Renew,,Outcome-Based Contracts,Active
CONT-000748,OPP-004759,ACC-000010,2025-01-09 13:43:46,2026-02-02 13:43:46,133334.19,Annual,Renewed,,Support & Maintenance,Active
CONT-000749,OPP-004762,ACC-000007,2021-12-18 00:00:00,2022-03-18 00:00:00,123440.79,Quarterly,Non-Renewed,Competitor,Infrastructure & Environment Setup,Inactive
CONT-000750,OPP-004764,ACC-000024,2023-07-01 00:00:00,2024-06-30 00:00:00,24777.99,Annual,Non-Renewed,Merger/Acquisition,Infrastructure & Environment Setup,Inactive
CONT-000751,OPP-004769,ACC-000027,2022-12-28 00:00:00,2023-04-27 00:00:00,83671.27,Custom,Non-Renewed,Product Issues,System Integration,Inactive
CONT-000752,OPP-004788,ACC-000029,2021-09-28 00:00:00,2022-02-25 00:00:00,127454.14,Custom,Non-Renewed,Poor Service,Development Projects,Inactive
CONT-000753,OPP-004798,ACC-000038,2024-09-12 00:00:00,2025-01-10 00:00:00,236705.87,Custom,Non-Renewed,Business Closure,Support & Maintenance,Inactive
CONT-000754,OPP-004799,ACC-000039,2022-08-06 00:00:00,2023-08-06 00:00:00,245367.44,Annual,Non-Renewed,Competitor,Managed Services,Inactive
CONT-000755,OPP-004806,ACC-000059,2024-11-15 13:43:46,2027-05-24 13:43:46,301064.89,Custom,Renewed,,Product Licensing,Active
CONT-000756,OPP-004817,ACC-000017,2022-01-22 00:00:00,2023-01-22 00:00:00,241945.69,Annual,Non-Renewed,Product Issues,Data & Analytics Services,Inactive
