Activity_ID,Account_ID,Activity_Date,Activity_Type,Activity_Channel,Activity_Outcome,Activity_Score
ENG-001274,ACC-000014,2023-03-13 09:17:26,Call,Support,Neutral,5
ENG-001275,ACC-000023,2021-10-13 15:29:33,Email,Support,Negative,1
ENG-001276,ACC-000052,2025-03-21 22:19:55,Call,Sales,Neutral,2
ENG-001277,ACC-000040,2023-06-21 01:41:47,Email,Support,Negative,4
ENG-001278,ACC-000032,2025-03-04 21:45:02,Webinar,Sales,Neutral,1
ENG-001279,ACC-000050,2022-09-10 02:53:30,Webinar,Support,Negative,9
ENG-001280,ACC-000039,2024-10-12 04:55:24,Call,Marketing,Positive,8
ENG-001281,ACC-000052,2025-01-30 23:53:22,In-Person,Support,Positive,10
ENG-001282,ACC-000040,2022-10-24 05:22:53,Call,Marketing,Positive,9
ENG-001283,ACC-000007,2022-11-19 00:23:30,Email,Marketing,Positive,4
ENG-001284,ACC-000059,2021-11-09 18:24:52,Webinar,Support,Negative,5
ENG-001285,ACC-000046,2023-11-04 18:28:14,In-Person,Marketing,Neutral,2
ENG-001286,ACC-000010,2023-06-08 02:27:38,Webinar,Sales,Positive,2
ENG-001287,ACC-000055,2021-07-10 22:50:28,Email,Sales,Neutral,1
ENG-001288,ACC-000016,2023-01-22 16:02:22,In-Person,Sales,Neutral,9
ENG-001289,ACC-000011,2022-05-06 07:17:30,Call,Sales,Neutral,7
ENG-001290,ACC-000024,2022-09-24 13:10:54,Email,Support,Negative,7
ENG-001291,ACC-000051,2023-11-21 09:58:03,Email,Support,Neutral,7
ENG-001292,ACC-000059,2024-10-29 06:16:40,In-Person,Sales,Negative,6
ENG-001293,ACC-000061,2022-10-13 16:17:20,Call,Sales,Positive,1
ENG-001294,ACC-000046,2024-08-20 11:07:12,Call,Support,Neutral,6
ENG-001295,ACC-000026,2024-02-20 22:19:15,Email,Sales,Positive,7
ENG-001296,ACC-000049,2022-07-10 09:54:56,Call,Marketing,Negative,3
ENG-001297,ACC-000058,2023-06-19 06:10:10,Call,Marketing,Negative,9
ENG-001298,ACC-000019,2023-01-21 15:57:53,In-Person,Sales,Negative,9
ENG-001299,ACC-000056,2024-01-03 17:33:56,Webinar,Marketing,Negative,6
ENG-001300,ACC-000059,2023-08-03 23:32:52,Webinar,Support,Neutral,9
ENG-001301,ACC-000040,2024-10-10 18:50:20,Email,Marketing,Neutral,8
ENG-001302,ACC-000042,2024-10-15 20:51:14,Email,Marketing,Negative,10
ENG-001303,ACC-000042,2022-04-28 03:36:17,In-Person,Marketing,Neutral,7
ENG-001304,ACC-000050,2024-08-09 09:56:28,Email,Sales,Positive,1
ENG-001305,ACC-000035,2025-04-27 08:41:17,Webinar,Sales,Negative,3
ENG-001306,ACC-000034,2023-10-25 14:56:03,Webinar,Support,Positive,9
ENG-001307,ACC-000036,2024-09-21 22:33:39,Webinar,Marketing,Neutral,3
ENG-001308,ACC-000002,2024-11-16 01:46:24,Call,Marketing,Negative,5
ENG-001309,ACC-000016,2022-07-14 08:43:16,Webinar,Marketing,Neutral,9
ENG-001310,ACC-000008,2022-02-17 11:15:01,Call,Sales,Neutral,9
ENG-001311,ACC-000023,2021-07-08 11:30:48,Call,Support,Negative,2
ENG-001312,ACC-000029,2025-06-16 00:01:42,Webinar,Marketing,Negative,1
ENG-001313,ACC-000030,2023-03-27 12:58:59,Webinar,Support,Negative,10
ENG-001314,ACC-000037,2021-08-04 17:10:04,Email,Sales,Neutral,5
ENG-001315,ACC-000043,2022-06-25 12:30:51,Email,Marketing,Neutral,9
ENG-001316,ACC-000048,2023-10-17 19:59:50,Email,Support,Neutral,9
ENG-001317,ACC-000038,2022-12-18 17:20:25,Email,Sales,Neutral,2
ENG-001318,ACC-000010,2024-03-12 11:21:32,In-Person,Sales,Positive,2
ENG-001319,ACC-000004,2025-01-22 19:18:59,In-Person,Support,Neutral,4
ENG-001320,ACC-000029,2024-06-09 19:49:17,Call,Sales,Negative,9
ENG-001321,ACC-000026,2025-03-22 06:03:49,In-Person,Sales,Negative,8
ENG-001322,ACC-000041,2021-07-13 11:26:58,In-Person,Sales,Negative,8
ENG-001323,ACC-000047,2022-12-01 00:04:54,In-Person,Support,Positive,9
ENG-001324,ACC-000009,2021-06-30 20:14:15,In-Person,Marketing,Neutral,3
ENG-001325,ACC-000062,2024-09-19 12:39:30,Call,Marketing,Positive,8
ENG-001326,ACC-000031,2024-04-14 15:47:33,Call,Marketing,Positive,9
ENG-001327,ACC-000024,2023-02-03 02:16:16,Call,Marketing,Neutral,2
ENG-001328,ACC-000008,2025-02-06 10:57:58,Webinar,Marketing,Neutral,1
ENG-001329,ACC-000034,2024-08-18 03:26:41,Email,Support,Neutral,5
ENG-001330,ACC-000024,2024-08-01 06:16:14,Webinar,Sales,Neutral,1
ENG-001331,ACC-000051,2022-10-19 06:33:23,Email,Support,Negative,7
ENG-001332,ACC-000004,2021-12-07 01:13:45,Webinar,Sales,Positive,3
ENG-001333,ACC-000053,2022-05-13 07:55:46,In-Person,Support,Positive,9
ENG-001334,ACC-000023,2023-09-29 14:38:40,Call,Support,Neutral,8
ENG-001335,ACC-000037,2022-07-03 13:15:37,Webinar,Marketing,Neutral,6
ENG-001336,ACC-000051,2023-04-11 17:35:52,In-Person,Sales,Negative,10
ENG-001337,ACC-000009,2023-08-01 21:53:41,Email,Marketing,Negative,8
ENG-001338,ACC-000049,2021-09-29 14:46:44,In-Person,Marketing,Neutral,3
ENG-001339,ACC-000056,2022-02-04 17:47:49,Webinar,Support,Negative,10
ENG-001340,ACC-000027,2024-07-08 02:03:22,In-Person,Support,Neutral,6
ENG-001341,ACC-000035,2022-09-06 06:22:16,Call,Marketing,Neutral,5
ENG-001342,ACC-000042,2021-11-20 02:00:48,Call,Support,Negative,1
ENG-001343,ACC-000037,2021-09-04 18:26:57,Webinar,Marketing,Negative,2
ENG-001344,ACC-000042,2025-05-29 17:19:41,Call,Support,Negative,9
ENG-001345,ACC-000037,2022-06-23 03:39:06,Call,Marketing,Negative,4
ENG-001346,ACC-000049,2025-04-22 11:01:49,In-Person,Marketing,Positive,2
ENG-001347,ACC-000043,2025-02-01 00:24:41,Email,Support,Neutral,4
ENG-001348,ACC-000016,2023-09-13 23:45:25,In-Person,Support,Negative,10
ENG-001349,ACC-000021,2023-04-01 05:36:09,In-Person,Marketing,Positive,8
ENG-001350,ACC-000056,2024-06-21 07:11:43,Call,Sales,Neutral,3
ENG-001351,ACC-000027,2025-04-19 19:17:40,Call,Marketing,Neutral,7
ENG-001352,ACC-000017,2023-01-28 05:14:10,Call,Support,Positive,9
ENG-001353,ACC-000011,2023-06-10 18:16:58,Webinar,Support,Positive,5
ENG-001354,ACC-000050,2024-09-02 09:26:22,Call,Support,Neutral,7
ENG-001355,ACC-000044,2021-11-07 11:07:13,Email,Support,Negative,6
ENG-001356,ACC-000012,2023-12-17 18:25:38,Call,Marketing,Positive,5
ENG-001357,ACC-000025,2021-11-24 01:05:52,Call,Sales,Positive,7
ENG-001358,ACC-000058,2023-08-22 17:26:30,Webinar,Sales,Neutral,2
ENG-001359,ACC-000004,2022-01-21 23:29:09,Email,Support,Negative,10
ENG-001360,ACC-000016,2024-03-14 10:51:04,In-Person,Marketing,Negative,7
ENG-001361,ACC-000061,2024-12-23 08:09:40,Call,Sales,Positive,6
ENG-001362,ACC-000030,2023-03-03 04:12:38,In-Person,Support,Neutral,1
ENG-001363,ACC-000027,2021-10-22 19:36:41,Email,Support,Neutral,9
ENG-001364,ACC-000062,2024-01-04 01:12:08,Call,Support,Negative,3
ENG-001365,ACC-000020,2023-11-27 15:37:12,In-Person,Sales,Positive,9
ENG-001366,ACC-000014,2021-10-03 07:48:08,Email,Sales,Negative,3
ENG-001367,ACC-000051,2023-05-05 07:03:57,Email,Marketing,Neutral,9
ENG-001368,ACC-000029,2024-04-22 15:25:42,Call,Support,Neutral,10
ENG-001369,ACC-000019,2022-01-17 14:53:13,Email,Support,Positive,8
ENG-001370,ACC-000018,2022-07-01 09:13:08,Webinar,Marketing,Neutral,6
ENG-001371,ACC-000054,2022-09-24 16:11:57,Email,Marketing,Negative,5
ENG-001372,ACC-000003,2022-08-08 00:10:34,Email,Marketing,Negative,10
ENG-001373,ACC-000005,2025-02-09 10:05:28,Webinar,Support,Neutral,2
ENG-001374,ACC-000054,2022-10-30 22:06:44,Email,Marketing,Negative,5
ENG-001375,ACC-000057,2025-06-06 03:04:30,In-Person,Support,Negative,9
ENG-001376,ACC-000062,2024-11-23 14:20:38,Webinar,Marketing,Neutral,5
ENG-001377,ACC-000049,2023-03-01 00:03:58,In-Person,Sales,Positive,6
ENG-001378,ACC-000022,2024-06-21 02:40:22,Email,Sales,Negative,6
ENG-001379,ACC-000002,2025-01-10 21:12:09,Email,Marketing,Positive,10
ENG-001380,ACC-000031,2024-08-13 21:40:15,Call,Support,Negative,3
ENG-001381,ACC-000027,2022-11-17 09:16:08,In-Person,Sales,Negative,2
ENG-001382,ACC-000051,2022-11-04 15:46:48,Call,Marketing,Positive,8
ENG-001383,ACC-000044,2023-06-01 21:45:54,Call,Sales,Neutral,10
ENG-001384,ACC-000023,2022-08-25 00:58:43,In-Person,Support,Negative,1
ENG-001385,ACC-000008,2022-06-26 11:23:12,In-Person,Sales,Positive,8
ENG-001386,ACC-000001,2021-10-22 14:16:41,Email,Marketing,Positive,5
ENG-001387,ACC-000044,2022-05-09 11:24:12,Webinar,Support,Positive,10
ENG-001388,ACC-000041,2022-01-26 00:20:46,Webinar,Marketing,Positive,4
ENG-001389,ACC-000032,2024-10-22 03:53:13,Webinar,Support,Neutral,8
ENG-001390,ACC-000058,2024-10-06 22:52:33,Email,Support,Positive,7
ENG-001391,ACC-000008,2023-12-23 21:13:28,Webinar,Marketing,Negative,8
ENG-001392,ACC-000011,2021-12-14 20:31:50,Email,Marketing,Negative,10
ENG-001393,ACC-000044,2022-02-24 23:51:15,Email,Support,Negative,3
ENG-001394,ACC-000048,2021-12-09 16:56:07,Call,Support,Neutral,10
ENG-001395,ACC-000055,2022-03-10 22:04:20,Email,Marketing,Negative,5
ENG-001396,ACC-000013,2023-05-27 22:47:31,Call,Marketing,Negative,9
ENG-001397,ACC-000040,2023-06-22 13:31:22,Webinar,Marketing,Negative,8
ENG-001398,ACC-000001,2022-10-29 09:44:18,In-Person,Marketing,Negative,1
ENG-001399,ACC-000055,2023-03-22 01:36:55,Webinar,Sales,Neutral,5
ENG-001400,ACC-000008,2022-01-02 03:07:14,In-Person,Sales,Neutral,9
ENG-001401,ACC-000049,2023-10-09 02:26:39,Call,Marketing,Positive,1
ENG-001402,ACC-000018,2023-01-06 03:39:10,In-Person,Marketing,Neutral,6
ENG-001403,ACC-000001,2024-10-07 05:57:52,In-Person,Support,Neutral,2
ENG-001404,ACC-000057,2022-05-17 02:58:06,Call,Marketing,Positive,7
ENG-001405,ACC-000062,2023-05-31 14:25:07,Call,Support,Positive,3
ENG-001406,ACC-000022,2022-10-20 12:16:25,Webinar,Support,Negative,2
ENG-001407,ACC-000002,2023-06-18 08:32:31,In-Person,Sales,Positive,10
ENG-001408,ACC-000052,2022-08-14 05:56:25,Webinar,Sales,Positive,2
ENG-001409,ACC-000031,2025-02-11 20:34:06,Email,Sales,Positive,6
ENG-001410,ACC-000034,2021-12-31 20:25:49,Email,Support,Negative,10
ENG-001411,ACC-000029,2021-11-16 00:51:50,Call,Marketing,Neutral,10
ENG-001412,ACC-000008,2022-02-28 10:03:21,Call,Support,Positive,7
ENG-001413,ACC-000021,2024-12-04 03:07:25,Call,Support,Positive,8
ENG-001414,ACC-000004,2024-05-29 07:42:26,Webinar,Marketing,Negative,7
ENG-001415,ACC-000005,2022-10-14 03:41:07,Call,Marketing,Positive,9
ENG-001416,ACC-000004,2025-01-02 07:39:27,Webinar,Sales,Neutral,2
ENG-001417,ACC-000040,2024-06-27 07:01:41,In-Person,Support,Negative,10
ENG-001418,ACC-000001,2024-06-15 03:13:23,In-Person,Sales,Neutral,7
ENG-001419,ACC-000057,2024-01-21 18:28:33,Call,Sales,Negative,1
ENG-001420,ACC-000030,2021-08-30 05:19:59,Webinar,Marketing,Positive,2
ENG-001421,ACC-000007,2022-05-28 14:17:05,Call,Marketing,Negative,2
ENG-001422,ACC-000038,2025-01-17 03:15:44,Email,Marketing,Positive,9
ENG-001423,ACC-000017,2025-02-18 05:05:42,Webinar,Sales,Neutral,10
ENG-001424,ACC-000029,2022-11-19 18:45:44,Email,Support,Positive,1
ENG-001425,ACC-000004,2022-02-13 23:38:27,Email,Sales,Negative,7
ENG-001426,ACC-000033,2021-11-17 06:23:32,Webinar,Sales,Negative,9
ENG-001427,ACC-000050,2024-07-07 07:35:54,Email,Support,Neutral,5
ENG-001428,ACC-000039,2022-07-19 03:59:45,Webinar,Sales,Neutral,1
ENG-001429,ACC-000034,2023-01-02 04:46:48,Email,Support,Positive,9
ENG-001430,ACC-000053,2023-03-06 02:47:35,Call,Sales,Neutral,4
ENG-001431,ACC-000013,2023-09-04 04:53:35,Email,Support,Neutral,4
ENG-001432,ACC-000043,2021-09-12 14:44:24,In-Person,Marketing,Negative,8
ENG-001433,ACC-000039,2024-05-15 12:57:18,Webinar,Marketing,Negative,6
ENG-001434,ACC-000040,2022-10-05 19:19:05,Webinar,Sales,Neutral,3
ENG-001435,ACC-000007,2022-08-06 17:26:59,In-Person,Support,Neutral,4
ENG-001436,ACC-000059,2024-12-23 12:53:08,Call,Marketing,Positive,4
ENG-001437,ACC-000030,2022-03-25 15:59:16,Email,Support,Neutral,6
ENG-001438,ACC-000052,2021-08-15 20:33:11,In-Person,Support,Neutral,3
ENG-001439,ACC-000053,2023-03-18 18:33:49,Call,Sales,Positive,2
ENG-001440,ACC-000023,2025-02-15 03:34:29,Call,Marketing,Positive,3
ENG-001441,ACC-000019,2023-06-01 01:00:37,In-Person,Support,Negative,10
ENG-001442,ACC-000059,2023-11-09 05:11:14,Webinar,Support,Positive,4
ENG-001443,ACC-000013,2024-09-02 16:06:53,Webinar,Support,Positive,5
ENG-001444,ACC-000047,2023-10-31 03:43:20,Email,Sales,Negative,4
ENG-001445,ACC-000012,2022-07-21 16:54:36,Email,Support,Positive,5
ENG-001446,ACC-000059,2021-11-22 17:20:35,Call,Support,Negative,3
ENG-001447,ACC-000025,2023-06-16 07:56:59,Call,Sales,Positive,5
ENG-001448,ACC-000030,2021-12-03 21:06:36,Email,Sales,Neutral,3
ENG-001449,ACC-000061,2024-11-28 09:10:19,In-Person,Marketing,Positive,2
ENG-001450,ACC-000010,2024-11-12 17:06:04,Email,Support,Positive,9
ENG-001451,ACC-000025,2022-01-31 17:35:28,Webinar,Sales,Negative,7
ENG-001452,ACC-000041,2022-01-03 05:50:04,Email,Support,Negative,10
ENG-001453,ACC-000013,2021-07-17 03:30:55,Webinar,Support,Neutral,4
ENG-001454,ACC-000004,2021-10-02 08:55:21,Webinar,Support,Negative,10
ENG-001455,ACC-000057,2025-01-08 12:15:11,In-Person,Support,Negative,2
ENG-001456,ACC-000051,2024-10-23 18:01:39,In-Person,Marketing,Negative,2
ENG-001457,ACC-000011,2022-06-08 21:13:52,In-Person,Marketing,Negative,6
ENG-001458,ACC-000032,2022-01-17 15:08:46,In-Person,Support,Neutral,6
ENG-001459,ACC-000034,2022-05-02 08:39:49,In-Person,Marketing,Neutral,8
ENG-001460,ACC-000018,2024-12-29 02:29:58,In-Person,Marketing,Negative,1
ENG-001461,ACC-000014,2023-03-12 20:30:04,Email,Support,Neutral,4
ENG-001462,ACC-000026,2023-01-27 19:49:56,Email,Sales,Neutral,7
ENG-001463,ACC-000037,2024-05-29 16:17:52,Email,Sales,Neutral,9
ENG-001464,ACC-000006,2024-03-03 16:55:28,Email,Support,Neutral,8
ENG-001465,ACC-000034,2025-06-24 01:03:16,Webinar,Support,Negative,1
ENG-001466,ACC-000030,2024-03-26 01:19:42,Webinar,Sales,Neutral,8
ENG-001467,ACC-000028,2021-11-06 02:56:44,In-Person,Sales,Neutral,6
ENG-001468,ACC-000018,2023-12-20 04:20:01,In-Person,Support,Positive,8
ENG-001469,ACC-000015,2023-12-26 01:49:11,Webinar,Marketing,Positive,6
ENG-001470,ACC-000058,2022-08-04 15:15:43,Call,Sales,Negative,9
ENG-001471,ACC-000035,2025-05-23 17:56:43,Call,Sales,Positive,2
ENG-001472,ACC-000008,2024-12-12 03:08:12,Call,Sales,Positive,9
ENG-001473,ACC-000013,2021-10-23 01:27:13,Webinar,Support,Negative,6
ENG-001474,ACC-000017,2021-08-01 10:29:54,Webinar,Marketing,Negative,5
ENG-001475,ACC-000013,2021-10-06 17:25:14,Email,Marketing,Negative,9
ENG-001476,ACC-000059,2022-05-01 18:23:44,Webinar,Support,Neutral,5
ENG-001477,ACC-000053,2025-04-30 13:13:17,Webinar,Sales,Neutral,10
ENG-001478,ACC-000049,2024-03-28 01:51:57,Call,Sales,Negative,9
ENG-001479,ACC-000049,2023-05-18 10:02:48,Email,Sales,Positive,4
ENG-001480,ACC-000047,2024-12-06 18:34:12,Email,Sales,Positive,9
ENG-001481,ACC-000038,2022-01-14 15:25:33,In-Person,Marketing,Neutral,6
ENG-001482,ACC-000051,2021-11-18 10:56:27,Call,Sales,Positive,7
ENG-001483,ACC-000050,2025-05-04 13:28:52,In-Person,Support,Neutral,8
ENG-001484,ACC-000055,2025-02-03 18:26:47,Call,Sales,Positive,10
ENG-001485,ACC-000056,2025-01-06 22:22:05,Email,Sales,Negative,1
ENG-001486,ACC-000032,2024-12-06 03:13:47,Webinar,Sales,Positive,7
ENG-001487,ACC-000028,2022-11-25 14:48:17,In-Person,Marketing,Negative,5
ENG-001488,ACC-000021,2022-01-04 21:53:28,Call,Marketing,Positive,3
ENG-001489,ACC-000010,2021-09-02 21:33:46,Webinar,Marketing,Negative,10
ENG-001490,ACC-000059,2023-06-14 16:51:55,In-Person,Sales,Positive,7
ENG-001491,ACC-000005,2021-09-15 05:38:21,In-Person,Support,Neutral,2
ENG-001492,ACC-000022,2022-03-16 12:49:13,In-Person,Marketing,Neutral,2
ENG-001493,ACC-000011,2025-06-03 03:51:24,Call,Marketing,Negative,3
ENG-001494,ACC-000003,2023-12-07 01:40:57,In-Person,Support,Positive,4
ENG-001495,ACC-000005,2023-05-02 10:58:08,In-Person,Sales,Positive,4
ENG-001496,ACC-000019,2024-12-26 00:22:51,Call,Sales,Positive,6
ENG-001497,ACC-000034,2024-07-27 22:28:06,Call,Support,Neutral,7
ENG-001498,ACC-000026,2023-03-04 04:20:50,Email,Support,Positive,9
ENG-001499,ACC-000027,2023-08-08 06:39:41,In-Person,Marketing,Positive,7
ENG-001500,ACC-000062,2021-08-13 08:54:30,Email,Support,Positive,5
ENG-001501,ACC-000028,2023-02-13 02:54:59,In-Person,Support,Negative,10
ENG-001502,ACC-000061,2024-05-24 21:45:09,Webinar,Marketing,Positive,9
ENG-001503,ACC-000046,2023-04-22 08:54:59,In-Person,Sales,Positive,1
ENG-001504,ACC-000010,2022-03-24 00:26:55,In-Person,Support,Neutral,10
ENG-001505,ACC-000052,2022-12-30 09:41:23,Email,Marketing,Neutral,10
ENG-001506,ACC-000057,2022-05-28 02:55:31,In-Person,Sales,Neutral,10
ENG-001507,ACC-000003,2025-05-09 13:45:52,Call,Sales,Negative,8
ENG-001508,ACC-000023,2022-04-15 07:13:41,Webinar,Sales,Negative,3
ENG-001509,ACC-000027,2022-08-29 17:47:32,Email,Support,Negative,7
ENG-001510,ACC-000030,2022-09-06 07:27:46,In-Person,Marketing,Positive,10
ENG-001511,ACC-000007,2023-05-22 10:14:24,In-Person,Marketing,Positive,4
ENG-001512,ACC-000057,2025-03-31 22:09:19,Email,Sales,Negative,9
ENG-001513,ACC-000019,2022-02-14 11:06:34,Call,Marketing,Negative,4
ENG-001514,ACC-000059,2021-08-21 09:33:13,In-Person,Sales,Negative,2
ENG-001515,ACC-000024,2024-02-07 13:16:53,Call,Support,Negative,6
ENG-001516,ACC-000027,2024-02-15 10:18:13,In-Person,Support,Neutral,4
ENG-001517,ACC-000033,2024-02-12 00:18:17,Call,Sales,Positive,2
ENG-001518,ACC-000041,2022-07-15 09:14:58,In-Person,Sales,Neutral,7
ENG-001519,ACC-000055,2024-03-30 02:01:00,Email,Sales,Positive,1
ENG-001520,ACC-000017,2022-09-30 00:02:48,Call,Marketing,Positive,6
ENG-001521,ACC-000043,2023-08-12 13:45:22,In-Person,Sales,Neutral,2
ENG-001522,ACC-000006,2023-03-30 13:54:41,Email,Marketing,Neutral,3
ENG-001523,ACC-000031,2025-03-30 22:05:58,Webinar,Support,Positive,1
ENG-001524,ACC-000039,2023-11-01 00:53:25,Call,Support,Neutral,2
ENG-001525,ACC-000035,2023-07-12 17:17:47,In-Person,Support,Positive,1
ENG-001526,ACC-000044,2021-10-01 07:11:36,Webinar,Support,Neutral,6
ENG-001527,ACC-000012,2021-11-11 20:13:31,Email,Marketing,Positive,9
ENG-001528,ACC-000014,2022-09-06 04:32:01,In-Person,Marketing,Positive,9
ENG-001529,ACC-000042,2023-02-13 13:34:24,Call,Sales,Negative,5
ENG-001530,ACC-000029,2022-01-27 18:15:30,Call,Marketing,Positive,1
ENG-001531,ACC-000050,2023-04-10 19:56:09,In-Person,Support,Positive,6
ENG-001532,ACC-000059,2022-05-04 10:03:17,Email,Support,Positive,1
ENG-001533,ACC-000027,2024-03-22 21:33:05,Call,Support,Neutral,4
ENG-001534,ACC-000044,2025-04-02 19:57:54,Call,Support,Positive,3
ENG-001535,ACC-000047,2024-11-17 23:25:20,Email,Support,Neutral,9
ENG-001536,ACC-000007,2023-09-23 09:29:52,Webinar,Sales,Negative,4
ENG-001537,ACC-000040,2022-07-20 14:37:49,Email,Marketing,Neutral,7
ENG-001538,ACC-000008,2024-03-04 09:57:24,Email,Support,Positive,6
ENG-001539,ACC-000021,2024-11-25 16:43:21,Email,Support,Neutral,6
ENG-001540,ACC-000001,2023-10-21 02:43:08,In-Person,Support,Neutral,4
ENG-001541,ACC-000005,2024-11-14 07:44:41,Webinar,Marketing,Negative,6
ENG-001542,ACC-000003,2021-07-28 21:51:33,Call,Support,Neutral,5
ENG-001543,ACC-000050,2023-02-12 18:17:27,In-Person,Support,Negative,9
ENG-001544,ACC-000051,2024-10-25 05:39:41,Email,Sales,Positive,10
ENG-001545,ACC-000021,2024-07-10 18:06:54,In-Person,Marketing,Negative,3
ENG-001546,ACC-000022,2023-01-07 10:23:55,Email,Marketing,Negative,6
ENG-001547,ACC-000055,2023-07-13 17:39:39,In-Person,Support,Neutral,1
ENG-001548,ACC-000039,2023-10-22 10:49:26,In-Person,Sales,Negative,4
ENG-001549,ACC-000033,2024-10-24 11:44:28,Call,Support,Positive,10
ENG-001550,ACC-000049,2023-07-21 11:53:23,Call,Sales,Positive,7
ENG-001551,ACC-000049,2022-12-15 00:15:01,Email,Marketing,Positive,1
ENG-001552,ACC-000009,2025-05-16 08:47:39,Webinar,Sales,Neutral,4
ENG-001553,ACC-000010,2023-11-24 06:43:51,In-Person,Support,Negative,1
ENG-001554,ACC-000016,2023-08-18 00:18:25,In-Person,Marketing,Neutral,3
ENG-001555,ACC-000018,2022-11-10 04:00:38,Webinar,Marketing,Positive,9
ENG-001556,ACC-000051,2023-02-21 21:37:56,In-Person,Marketing,Neutral,1
ENG-001557,ACC-000015,2022-08-22 16:18:07,Webinar,Sales,Positive,4
ENG-001558,ACC-000035,2022-04-03 21:45:02,Call,Marketing,Positive,4
ENG-001559,ACC-000039,2021-08-08 01:25:36,In-Person,Marketing,Neutral,3
ENG-001560,ACC-000029,2022-11-05 22:20:46,Call,Support,Neutral,2
ENG-001561,ACC-000062,2024-01-12 03:50:24,Email,Support,Negative,3
ENG-001562,ACC-000061,2022-06-03 19:23:36,Email,Support,Positive,3
ENG-001563,ACC-000038,2021-08-13 02:14:27,Email,Support,Negative,2
ENG-001564,ACC-000028,2025-04-20 02:15:37,In-Person,Sales,Positive,4
ENG-001565,ACC-000016,2024-12-08 22:25:08,In-Person,Support,Negative,4
ENG-001566,ACC-000020,2024-10-19 23:44:23,Webinar,Marketing,Neutral,4
ENG-001567,ACC-000018,2022-09-07 23:39:28,In-Person,Support,Neutral,7
ENG-001568,ACC-000025,2021-09-27 14:10:05,Email,Sales,Neutral,7
ENG-001569,ACC-000033,2024-12-05 18:31:50,In-Person,Support,Neutral,1
ENG-001570,ACC-000049,2023-07-01 07:23:50,In-Person,Sales,Positive,5
ENG-001571,ACC-000039,2023-09-29 00:23:43,Email,Marketing,Negative,3
ENG-001572,ACC-000017,2023-01-04 19:47:34,In-Person,Sales,Neutral,8
ENG-001573,ACC-000019,2024-10-01 19:40:37,In-Person,Marketing,Negative,8
ENG-001574,ACC-000005,2023-12-22 18:24:49,Webinar,Support,Negative,8
ENG-001575,ACC-000013,2022-06-25 03:43:47,Email,Support,Positive,1
ENG-001576,ACC-000056,2022-03-03 12:58:23,Webinar,Sales,Neutral,7
ENG-001577,ACC-000061,2021-12-01 03:00:27,In-Person,Marketing,Neutral,7
ENG-001578,ACC-000032,2022-07-18 14:30:34,Webinar,Marketing,Negative,2
ENG-001579,ACC-000027,2024-04-13 23:24:34,Call,Support,Neutral,10
ENG-001580,ACC-000011,2022-07-08 04:33:24,Email,Sales,Neutral,6
ENG-001581,ACC-000033,2022-08-16 14:34:32,In-Person,Marketing,Negative,6
ENG-001582,ACC-000045,2023-10-05 15:07:04,Call,Marketing,Neutral,7
ENG-001583,ACC-000048,2024-12-17 15:02:43,Email,Support,Neutral,1
ENG-001584,ACC-000059,2024-11-08 17:11:24,Webinar,Marketing,Negative,1
ENG-001585,ACC-000045,2025-05-23 11:38:27,Email,Sales,Negative,8
ENG-001586,ACC-000061,2024-08-16 13:19:21,Email,Sales,Positive,10
ENG-001587,ACC-000038,2021-09-23 10:09:16,Email,Support,Positive,2
ENG-001588,ACC-000042,2024-09-27 11:34:01,In-Person,Sales,Negative,10
ENG-001589,ACC-000058,2022-06-04 09:59:08,Call,Marketing,Positive,7
ENG-001590,ACC-000011,2023-12-09 21:05:10,In-Person,Sales,Negative,5
ENG-001591,ACC-000033,2025-02-02 13:43:33,In-Person,Marketing,Neutral,7
ENG-001592,ACC-000049,2024-11-18 06:36:30,Call,Support,Negative,10
ENG-001593,ACC-000050,2023-02-21 23:10:12,Webinar,Support,Neutral,4
ENG-001594,ACC-000060,2022-12-31 17:48:15,In-Person,Marketing,Neutral,1
ENG-001595,ACC-000011,2025-06-20 08:44:12,In-Person,Support,Positive,2
ENG-001596,ACC-000050,2025-01-22 06:12:07,In-Person,Marketing,Neutral,5
ENG-001597,ACC-000047,2025-01-31 13:50:53,In-Person,Support,Positive,6
ENG-001598,ACC-000012,2022-03-25 10:10:58,Email,Support,Neutral,3
ENG-001599,ACC-000033,2022-03-29 03:13:35,Call,Sales,Negative,4
ENG-001600,ACC-000012,2022-07-01 00:59:39,Email,Support,Negative,3
ENG-001601,ACC-000052,2024-01-05 00:27:26,Email,Sales,Neutral,8
ENG-001602,ACC-000041,2022-11-04 13:47:27,Call,Marketing,Positive,2
ENG-001603,ACC-000019,2024-12-01 23:25:28,Call,Sales,Positive,5
ENG-001604,ACC-000005,2024-08-18 04:16:53,Webinar,Support,Negative,4
ENG-001605,ACC-000031,2024-06-16 07:07:56,In-Person,Marketing,Positive,1
ENG-001606,ACC-000004,2023-01-06 22:08:00,Webinar,Support,Negative,10
ENG-001607,ACC-000051,2025-05-18 09:22:23,Call,Support,Positive,9
ENG-001608,ACC-000051,2024-01-03 12:46:38,Call,Sales,Negative,9
ENG-001609,ACC-000062,2021-08-11 09:20:45,Webinar,Sales,Neutral,6
ENG-001610,ACC-000039,2024-06-25 08:21:11,In-Person,Sales,Neutral,6
